Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/09  17:00:00,8800014.710742291,4368891.063756271,4368891.063756271,4368891.063756271,4416128.701088219,0.0 
 02/09  18:00:00,11617035.390990121,5514884.4344747625,5514884.4344747625,5514884.4344747625,4312797.871094364,1768467.2679204869 
 02/09  19:00:00,12159864.422216495,5936377.747743254,5936377.747743254,5936377.747743254,4211909.396391148,1795359.9885819345 
 02/09  20:00:00,11585478.086874725,5860851.394397255,5860851.394397255,5860851.394397255,3703920.8226235704,1801445.7747738305 
 02/09  21:00:00,11227882.621960258,5788324.826793473,5788324.826793473,5788324.826793473,3433793.438037461,1786504.2620492554 
 02/09  22:00:00,11037402.82467793,5275040.848512863,5275040.848512863,5275040.848512863,3784175.1151772505,1766521.6086352048 
 02/09  23:00:00,10136344.734390425,4175767.1653783405,4175767.1653783405,4175767.1653783405,4026718.2311033774,1732636.994306349 
 02/09  24:00:00,7291436.563584899,3228431.3064444675,3228431.3064444675,3228431.3064444675,3869548.153378007,0.0 
 02/10  01:00:00,8427928.911899153,2498479.0097388276,2498479.0097388276,2498479.0097388276,4072850.155663509,1666355.8454267788 
 02/10  02:00:00,7060356.485455508,2287908.203727021,2287908.203727021,2287908.203727021,4582204.38065845,0.0 
 02/10  03:00:00,7031945.141707246,2218387.455766968,2218387.455766968,2218387.455766968,4623313.78487024,0.0 
 02/10  04:00:00,6836211.761051464,2167160.80380385,2167160.80380385,2167160.80380385,4478807.056177575,0.0 
 02/10  05:00:00,6804777.114163278,2326991.86639299,2326991.86639299,2326991.86639299,4283257.0764437355,0.0 
 02/10  06:00:00,9111593.144431412,2888368.680950925,2888368.680950925,2888368.680950925,4317039.595242441,1704694.7577446557 
 02/10  07:00:00,9541278.283805408,3455726.295687276,3455726.295687276,3455726.295687276,4273931.199351696,1796625.8428686347 
 02/10  08:00:00,9947266.89185264,3804342.957438114,3804342.957438114,3804342.957438114,4293387.889752147,1836147.7001107694 
 02/10  09:00:00,11534303.311649553,3331560.1762823085,3331560.1762823085,3331560.1762823085,6351693.322124784,1845158.9416397545 
 02/10  10:00:00,16675231.819560092,3145052.4172653225,3145052.4172653225,3145052.4172653225,9893536.505142558,3632626.39378673 
 02/10  11:00:00,18126358.157658543,3201316.809840188,3201316.809840188,3201316.809840188,13087354.550246473,1833670.2942064018 
 02/10  12:00:00,21231148.315605134,3245056.7517732778,3245056.7517732778,3245056.7517732778,16203441.867155194,1778633.193311178 
 02/10  13:00:00,22684442.100175194,3197289.398662933,3197289.398662933,3197289.398662933,19483136.198146783,0.0 
 02/10  14:00:00,26017041.033307135,3143544.016284607,3143544.016284607,3143544.016284607,21124032.739716403,1745447.7739406447 
 02/10  15:00:00,27449016.95010249,3152610.4832543777,3152610.4832543777,3152610.4832543777,22557829.08818139,1734560.8753012354 
 02/10  16:00:00,26151702.704018425,3436226.8211706067,3436226.8211706067,3436226.8211706067,21716446.484375194,992067.4593057921 
 02/10  17:00:00,28984492.4762531,4368891.063756271,4368891.063756271,4368891.063756271,23856967.233510774,743639.2330882471 
 02/10  18:00:00,35447227.420095794,5514884.4344747625,5514884.4344747625,5514884.4344747625,28142957.776679978,1768499.3914405457 
 02/10  19:00:00,38024134.03176414,5936377.747743254,5936377.747743254,5936377.747743254,30076564.17927551,1794974.8152452246 
 02/10  20:00:00,40173458.7139442,5860851.394397255,5860851.394397255,5860851.394397255,32292270.732136745,1801076.49233012 
 02/10  21:00:00,42497093.240003034,5788324.826793473,5788324.826793473,5788324.826793473,34702853.88831141,1786654.4298180828 
 02/10  22:00:00,42665338.42185135,5275040.848512863,5275040.848512863,5275040.848512863,35412310.538077645,1766321.7829082254 
 02/10  23:00:00,43618998.96185163,4175767.1653783405,4175767.1653783405,4175767.1653783405,37509571.0963151,1732438.356555832 
 02/10  24:00:00,41375647.154731914,3228431.3064444675,3228431.3064444675,3228431.3064444675,37953758.74452502,0.0 
 02/11  01:00:00,42796631.39346561,2498479.0097388276,2498479.0097388276,2498479.0097388276,39589844.685679734,518063.79697701277 
 02/11  02:00:00,45562320.8147603,2287908.203727021,2287908.203727021,2287908.203727021,41945113.18952645,1139055.5204367805 
 02/11  03:00:00,42992826.678293034,2218387.455766968,2218387.455766968,2218387.455766968,40584195.32145604,0.0 
 02/11  04:00:00,41266494.56527701,2167160.80380385,2167160.80380385,2167160.80380385,38909089.86040313,0.0 
 02/11  05:00:00,39354075.72865242,2326991.86639299,2326991.86639299,2326991.86639299,36832555.69093288,0.0 
 02/11  06:00:00,41583336.559681214,2888368.680950925,2888368.680950925,2888368.680950925,36788512.89634524,1704964.871891657 
 02/11  07:00:00,41391907.76571068,3455726.295687276,3455726.295687276,3455726.295687276,36124427.12697688,1796759.3971487214 
 02/11  08:00:00,39741571.62641596,3804342.957438114,3804342.957438114,3804342.957438114,34087469.63238572,1836370.6920405128 
 02/11  09:00:00,36899137.91685281,3331560.1762823085,3331560.1762823085,3331560.1762823085,31716454.243667293,1845232.6253004984 
 02/11  10:00:00,31320340.911190458,3145052.4172653225,3145052.4172653225,3145052.4172653225,26340442.86370743,1830829.126852225 
 02/11  11:00:00,27112882.94426357,3201316.809840188,3201316.809840188,3201316.809840188,21183885.632388383,2723663.9986695135 
 02/11  12:00:00,23764177.75536413,3245056.7517732778,3245056.7517732778,3245056.7517732778,19642652.95565942,872451.5445659495 
 02/11  13:00:00,21218332.855676316,3197289.398662933,3197289.398662933,3197289.398662933,16258548.971925756,1758477.981722147 
 02/11  14:00:00,17612385.28594552,3143544.016284607,3143544.016284607,3143544.016284607,12719185.767203454,1745638.999091974 
 02/11  15:00:00,16020667.2362992,3152610.4832543777,3152610.4832543777,3152610.4832543777,11129543.919569757,1734496.330109581 
 02/11  16:00:00,13159780.840416528,3436226.8211706067,3436226.8211706067,3436226.8211706067,9716592.080079086,0.0 
 02/11  17:00:00,14217225.302020304,4368891.063756271,4368891.063756271,4368891.063756271,8089405.157529173,1743934.134837058 
 02/11  18:00:00,16270877.900197359,5514884.4344747625,5514884.4344747625,5514884.4344747625,8967050.027419753,1768057.620802336 
 02/11  19:00:00,20194288.51575256,5936377.747743254,5936377.747743254,5936377.747743254,12246827.276477076,1794866.2020320715 
 02/11  20:00:00,21885804.103011772,5860851.394397255,5860851.394397255,5860851.394397255,14004344.372065865,1801348.2414685835 
 02/11  21:00:00,23633565.096329853,5788324.826793473,5788324.826793473,5788324.826793473,15839258.963642638,1786721.21081367 
