Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/05  15:00:00,5045489.902047623,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734577.2011420492 
 02/05  16:00:00,3597474.474623157,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,0.0 
 02/05  17:00:00,6281944.719710467,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1743772.995770682 
 02/05  18:00:00,7458275.899212553,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768219.932951568 
 02/05  19:00:00,8102084.925047653,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795204.173518528 
 02/05  20:00:00,8754681.915341299,5860851.394397255,5860851.394397255,5860851.394397255,873038.3086095825,1801532.1172543927 
 02/05  21:00:00,10953741.082109265,5788324.826793473,5788324.826793473,5788324.826793473,3159066.0512172263,1787090.1090184967 
 02/05  22:00:00,12056345.763241423,5275040.848512863,5275040.848512863,5275040.848512863,4802977.056728384,1766662.6056475635 
 02/05  23:00:00,12266124.745524185,4175767.1653783405,4175767.1653783405,4175767.1653783405,7053167.807379627,835967.4291638599 
 02/05  24:00:00,12814569.72884526,3228431.3064444675,3228431.3064444675,3228431.3064444675,8514389.768159892,878291.5504784747 
 02/06  01:00:00,12343765.384190664,2519341.8750856025,2519341.8750856025,2519341.8750856025,9634179.608035024,0.0 
 02/06  02:00:00,13380216.611817366,2300485.626558334,2300485.626558334,2300485.626558334,10889487.084188992,0.0 
 02/06  03:00:00,15858509.612482872,2226600.0926204654,2226600.0926204654,2226600.0926204654,11793175.54839158,1648490.0704007875 
 02/06  04:00:00,14726173.066346653,2171740.4070940726,2171740.4070940726,2171740.4070940726,12364188.75818254,0.0 
 02/06  05:00:00,14811438.997871783,2335718.210080423,2335718.210080423,2335718.210080423,12281192.616464807,0.0 
 02/06  06:00:00,15946272.460929079,2902111.397117286,2902111.397117286,2902111.397117286,11718388.714754682,1124282.2385637243 
 02/06  07:00:00,16984552.80962797,3490045.529346395,3490045.529346395,3490045.529346395,11063449.325929506,2416063.008454268 
 02/06  08:00:00,15627724.140024014,3872409.4070758065,3872409.4070758065,3872409.4070758065,9896453.526762282,1845472.8616343145 
 02/06  09:00:00,14314689.043324756,3436548.288166884,3436548.288166884,3436548.288166884,9013726.882942282,1858523.0006128836 
 02/06  10:00:00,14070489.490936045,3287629.4627914913,3287629.4627914913,3287629.4627914913,8932177.447456196,1846666.0773228775 
